ocr_char,syllable,n_rows,n_pages,n_books,tiers,char_in_dict,dict_readings_of_char,n_dict_chars_for_syllable,dict_chars_for_syllable,similar_hit,gold_count,verdict,true_char,sample_images
牝,phê,1,1,1,REVIEW,True,bẫn chủy tẫn u,16,呸 啡 批 披 砒 磇 翍 鈚 錍 鎞 非 㓟 㩺 𢱧 𤿎 𤿐,批 鈚,0,,,
𠂯,thánh,1,1,1,REVIEW,True,quai quay,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,,0,,,
𡘽,mẹ,1,1,1,REVIEW,False,,9,姆 媄 憽 毋 母 美 袄 那 㜫,,0,,,
牛,phiên,1,1,1,REVIEW,True,ngâu ngõ ngưu ngọ ngỏ,43,反 幡 憣 拚 旙 旛 樊 潘 片 犿 畨 番 籓 繙 翩 翻 膰 萹 蕃 藩,,0,,,
牛,nào,1,1,1,REVIEW,True,ngâu ngõ ngưu ngọ ngỏ,22, 𱜢 儍 市 惱 牢 羅 芇 芾 閙 闹 鬧 㝹 𠅈 𠆴 𠇰 𡗚 𢂂 𦬝 𨶂,牢,0,,,gold/stt11_page_0198_c07_142.png
𮑇,đi,1,1,1,REVIEW,False,,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,0,,,
牙,vua,1,1,1,REVIEW,True,nga ngà nha nhà nhã nhơ,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,,14,,,
牙,nho,1,1,1,REVIEW,True,nga ngà nha nhà nhã nhơ,17,伩 信 偄 儒 檽 薷 顬 颥 㐵 㮕 䫱 𠍶 𡮈 𣚐 𣽈 𩪰 󰒹,,14,,,
𠄘,trời,1,1,1,REVIEW,True,thừa,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,0,,,
牙,cả,1,1,1,REVIEW,True,nga ngà nha nhà nhã nhơ,11,仍 哿 垰 奇 架 竒 𠵲 𪥘 󱝝 󱝮 󱼓,,14,,,
牌,ngày,1,1,1,REVIEW,True,bia bài bìa bời tì tỳ,11,ヌ  匕 又 挧 時 㝵 𣈗 𣈜 𣦍 𬏝,,0,,,
牌,chế,1,1,1,REVIEW,True,bia bài bìa bời tì tỳ,18,制 剬 吱 晳 狾 猘 製 鯯 𠛐 𠛯 𠜔 𠜿 𠝁 𠝦 𠶜 𧚳 𨨪 󱚘,,0,,,
𠅘,dí,1,1,1,REVIEW,True,đình đứa,8,抉 挗 洟 涕 䶏 𡡧 𦳂 以,,0,,,
𡘤,em,1,1,1,REVIEW,False,,16,俺 奄 腌 英 醃 骯 㛪 𠲖 𦛞 𦜽 𦞴 𦟩 𨉚 𫸽 讒 𡅩,,0,,,
片,phải,1,1,1,REVIEW,True,phiên phiến phiện phên phướn,30,仕 伂 塊 折 拜 拝 朝 沛 派 芾 霈 㳈 𡴬 𢪙 𢫶 𢮠 𢰛 𢱭 𢳎 𢴽,,0,,,
片,chăng,1,1,1,REVIEW,True,phiên phiến phiện phên phướn,26, 丕 仳 庄 庒 弡 張 拯 生 空 荘 莊 㔻 㽵 𠗎 𠦓 𠲕 𤕶 𤖄 𤖈,,0,,,
猖,gấu,1,1,1,REVIEW,True,xương,9,褠 韝 㡚 𤠰 𦵷 𧛥 󱘐 󱨘 󱳹,,0,,,
猛,hùm,1,1,1,REVIEW,True,mãnh mạnh mảnh,6,𤞻 𧳘 𬮎 󰁫 󰠆 󱬻,,0,,,
猛,vôi,1,1,1,REVIEW,True,mãnh mạnh mảnh,11,梖 洃 灰 炭 盃 𤆆 𥔦 𦭹 𪿙 灰 󱩒,,0,,,
王,miệng,1,1,1,REVIEW,True,chủ ngọc vương vướng vượng ông,6,凩 皿 𠰘 𠱄 𠲶 𠴡,,7,,,
珀,bạc,1,1,1,REVIEW,True,phách,65,亳 伯 包 匏 博 帕 愽 懪 撲 昰 欂 泊 泺 洦 淿 湐 溥 濼 爆 玉,伯 帕 泊 白,0,,,
玲,ném,1,1,1,REVIEW,True,lanh leng linh liếng lẻng,7,念 捻 敜 㩶 𢰀 𢷁 𦮴,,0,,,
玖,song,1,1,1,REVIEW,True,cửu,47,双 囍 囪 囱 愯 摐 淙 滝 漴 牎 牕 窓 窗 窻 葱 蔥 衝 雙 㕠 㧐,,0,,,
黓,con,1,1,1,REVIEW,True,dác dạc dặc giặc mắc nhác nhấc nhắc rạc,15,ヌ  婫 岞 昆 晜 罤 群 㒭 𡥵 𣋥 𤙭 𥊽 𧲟 𫴾,,0,,,
黙,bảy,1,1,1,REVIEW,True,mắc mặc,16,  副 摆 斎 疲 罢 罷 羆 𠐌 𠤩 𣘓 𦉱 𦋼 𧟽 𬙞,,80,,,
王,vì,1,1,1,REVIEW,True,chủ ngọc vương vướng vượng ông,7,位 為 爲 𠸠 𡸏 𦥮 󰩄,,7,,,
𭻃,mới,1,1,1,REVIEW,False,,23,𱺵 厶 另 埋 某 梅 皮 蛽 貝 買 賀 㵋 𠇍 𡤓 𡤔 𧵽 𪚾 𪦲 𬔫 󰋇,,0,,,
王,sinh,1,1,1,REVIEW,True,chủ ngọc vương vướng vượng ông,23,坐 性 湦 牲 狌 狡 生 甥 笙 虛 鉎 鼪 㺒 㽒 䲼 𠤵 𠥱 𤟋 𤯓 𤯛,生,7,,,
王,nghĩa,1,1,1,REVIEW,True,chủ ngọc vương vướng vượng ông,10, 𱻊 义 儀 羛 義 解 誼 𠌾 󰒂,,7,,,
黿,nha,1,1,1,REVIEW,True,ngoan nguyên,45,𱸳 丫 亞 伢 吓 呀 哑 啞 如 孲 惹 枒 桠 椏 涯 牙 犽 砑 芽 茹,,0,,,
猝,si,1,1,1,REVIEW,True,nhót thút thốt tuột tót tọt vuốt,99,嗟 嗤 妛 媸 差 希 彨 彲 徙 抬 摛 柴 殦 灑 痴 瘥 癡 眵 瞝 知,,0,,,
王,lại,1,1,1,REVIEW,True,chủ ngọc vương vướng vượng ông,55,使 來 俫 倈 勑 厉 厲 又 叓 右 叹 吏 嬾 尼 徕 徠 懒 懶 束 濑,,7,,,
鼂,trông,1,1,1,REVIEW,True,triêu triều trào,37,  𱢽 𱼙 朧 矇 矓 祘 筭 算 篭 籠 鐭 𢌺 𥄡 𥉩 𥉫 𥊛 𥪝 𪚤,,0,,,
王,làm,1,1,1,REVIEW,True,chủ ngọc vương vướng vượng ông,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,7,,,
王,disstrong,1,1,1,REVIEW,True,chủ ngọc vương vướng vượng ông,0,,,7,,,
王,cha,1,1,1,REVIEW,True,chủ ngọc vương vướng vượng ông,25,乍 作 偺 吒 咋 咤 咱 喒 喥 嗻 囃 托 爹 爺 皻 皽 詐 醡 𠆦 𠷆,,7,,,
玉,chăng,1,1,1,REVIEW,True,bạc ngọc túc vương vướng,26, 丕 仳 庄 庒 弡 張 拯 生 空 荘 莊 㔻 㽵 𠗎 𠦓 𠲕 𤕶 𤖄 𤖈,,5,,,
鼐,ong,1,1,1,REVIEW,True,nãi nại,25,翁 蚌 蜂 螉 蠭 䗦 䗬 𧉳 𧊩 𧋴 𧒒 𧓶 𧔧 𪪳 󱤇 󱹀 凍 咚 喠 容,,0,,,
鼓,ghét,1,1,1,REVIEW,True,cổ trống,6,匕 咭 恄 結 𢢂 𪢍,,0,,,
率,gia,1,1,1,REVIEW,True,chuốt luật lô rớt soát suất suốt sót sút súy thoát thoăn,71,伽 倻 傢 像 加 咖 咱 哿 啫 喒 嗻 嘉 宊 家 捓 揶 斜 枒 枷 椰,,2,,,
珉,0,1,1,1,REVIEW,True,dân mai mân mần,0,,,0,,,
珍,chin,1,1,1,REVIEW,True,trân trâng trơn trằn,0,,,0,,,
黓,307,1,1,1,REVIEW,True,dác dạc dặc giặc mắc nhác nhấc nhắc rạc,0,,,0,,,
珍,ném,1,1,1,REVIEW,True,trân trâng trơn trằn,7,念 捻 敜 㩶 𢰀 𢷁 𦮴,,0,,,
現,ma,1,1,1,REVIEW,True,hiện hẹn kén,59,么 吗 嗎 嘛 嚒 嚜 妈 媽 嫫 嬤 嬷 孖 尛 庅 摩 擵 攠 痲 痳 磨,,27,,,
黏,sống,1,1,1,REVIEW,True,chiêm dính niêm,18,弄 生 銃 𠸙 𤯨 𤯩 𦡠 𧚠 𩀳 𩩇 𩩖 𪁇 𪟤 𫪹 𬴑 𮌱 󱝙 󱨱,,0,,,
班,ri,1,1,1,REVIEW,True,ban băn bơn,12,咦 夷 洟 荑 蛦 鴺 鵜 𠶋 𠺹 𦯔 𪅨 󱸗,,18,,,
班,phao,1,1,1,REVIEW,True,ban băn bơn,13,抛 抱 拋 摽 泡 漂 砲 胞 脬 𢱹 𢿏 𥒙 叨,,18,,,
黑,bởi,1,1,1,REVIEW,True,hắc,19,  副 拜 排 摆 疲 罢 罷 羆 𠐌 𤳄 𤳷 𤳸 𦋼 𧟽 𪤄 𪽝 𬙞,羆,0,,,
班,nhan,1,1,1,REVIEW,True,ban băn bơn,10,忍 顏 顔 颜 㘖 𢏑 𦫞 𦫤 𦫨 𩕝,,18,,,
𭻃,là,1,1,1,REVIEW,False,,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,
𡚖,nam,1,1,1,REVIEW,True,qui quy,26,侽 南 喃 囝 囡 娚 嫐 枏 枬 柟 楠 男 蝻 諵 㑲 㽖 䛁 𠲸 𡴖 𡴟,,0,,,
珪,càng,1,1,1,REVIEW,True,khuê,17,乾 亘 岡 強 强 彊 犟 綱 𢏟 𣚦 𥆁 𧈧 𧖑 𪨈 𫋙 𮜓 󱢥,,0,,,
珠,tô,1,1,1,REVIEW,True,chau chu chua châu nước thậm trù đầm,23,囌 甦 祖 租 稣 穌 芇 苏 苴 蒩 蘇 蘓 酥 鯂 䲆 𤯳 𥗹 𥠙 𦢦 𦣑,,5,,,
黑,thánh,1,1,1,REVIEW,True,hắc,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,聖,0,,,
黑,tôi,1,1,1,REVIEW,True,hắc,17,倅 晬 淬 焠 熣 的 睟 砕 碎 㳃 𠗚 𣅢 𤏣 𤭢 𪝬 𫇈 𫬮,,0,,,
珠,trai,1,1,1,REVIEW,True,chau chu chua châu nước thậm trù đầm,53,  𱰺 𱰼 亝 佳 夈 斋 斎 杷 济 琜 粂 閁 齊 齋 齐 㪰 䄢 䬩,,5,,,
珠,mê,1,1,1,REVIEW,True,chau chu chua châu nước thậm trù đầm,17,眯 詸 謎 谜 迷 醚 麊 麋 麛 䴢 𢞞 𣗌 𨒲 𨡅 𪊏 敉 醾,,5,,,
珠,ma,1,1,1,REVIEW,True,chau chu chua châu nước thậm trù đầm,59,么 吗 嗎 嘛 嚒 嚜 妈 媽 嫫 嬤 嬷 孖 尛 庅 摩 擵 攠 痲 痳 磨,,5,,,
珠,giu,1,1,1,REVIEW,True,chau chu chua châu nước thậm trù đầm,0,,,5,,,
珞,ném,1,1,1,REVIEW,True,lạc lịch lộ,7,念 捻 敜 㩶 𢰀 𢷁 𦮴,,0,,,
黓,1197,1,1,1,REVIEW,True,dác dạc dặc giặc mắc nhác nhấc nhắc rạc,0,,,0,,,
珎,chước,1,1,1,REVIEW,True,trân trằn,56,剢 勺 妁 彴 所 捉 斫 斮 斲 斵 斸 杓 櫡 汋 灼 焯 燋 的 硳 禚,,0,,,
率,dám,1,1,1,REVIEW,True,chuốt luật lô rớt soát suất suốt sót sút súy thoát thoăn,18, 噉 敢 滥 皿 监 監 鉴 鍳 㗖 㦑 𠭖 𢼿 𢽤 𢽿 𣆸 𣪏 𪾋,,2,,,
𮃛,ghê,1,1,1,REVIEW,False,,19,世 乩 卟 稽 䭫 䭬 𠺳 𡃊 𥞞 𥟵 𥠻 𥡞 𥡳 𥡴 𩠜 𩠥 𩠦 𩠨 󰏲,,0,,,
鼓,đi,1,1,1,REVIEW,True,cổ trống,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,0,,,
獣,tô,1,1,1,REVIEW,True,thú,23,囌 甦 祖 租 稣 穌 芇 苏 苴 蒩 蘇 蘓 酥 鯂 䲆 𤯳 𥗹 𥠙 𦢦 𦣑,,3,,,
獐,vuốt,1,1,1,REVIEW,True,chương hoẵng,25,孛 找 挨 捽 潷 爪 爫 猝 猾 踤 㕚 𢔙 𢪄 𢬪 𢴩 𢵼 𣴡 𣺱 𤔯 𤝊,猝,0,,,
獎,xin,1,1,1,REVIEW,True,tưởng,8,吀 吒 嗔 填 真 謓 㥲 𡃑,,0,,,
獅,ô,1,1,1,REVIEW,True,sư,53,乌 兀 呜 嗚 圬 弧 恶 惡 戽 扵 捂 握 摀 於 杇 歍 汅 汙 汚 污,,21,,,
齎,trời,1,1,1,REVIEW,True,tê tư tề,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,0,,,
齐,lần,1,1,1,REVIEW,True,chay trai tày tè tê tư tầy tế tề,37,各 吝 夤 寅 層 恡 悋 濥 路 㖁 㝙 𠞺 𠫤 𠯌 𠯛 𠲲 𠳈 𠳺 𠳻 𠴽,,0,,,
獅,thánh,1,1,1,REVIEW,True,sư,33,偺 咱 喒 圣 垩 堊 琞 聖 聽 請 㑑 㗂 䎴 𠄵 𡃑 𡉄 𡑺 𤦨 𤪈 𥅶,,21,,,
齒,thì,1,1,1,REVIEW,True,chỉ xẻ xỉ xỉa,56,𱢑 匙 埘 塒 寺 峕 常 提 时 旹 時 晨 曟 榯 氏 畤 秲 茄 莳 蒔,𥊘,0,,,gold/stt2_page_0314_c02_021.png
齟,năm,1,1,1,REVIEW,True,thư trở,19, 南 年 朩 璏 秊 䄭 𠄼 𠡦 𠦅 𠦚 𠫺 𠬋 𢆥 𦼌 𫡵 𫧣 𫷜 󱙌,,0,,,
獅,các,1,1,1,REVIEW,True,sư,21,各 合 恪 搁 擱 斠 格 榷 琾 硌 胳 袼 鉻 铬 閣 閤 阁 𬮤 挃 茖,,21,,,
獄,muông,1,1,1,REVIEW,True,ngục,4,懞 獴 𤡌 𪺿,,34,,,
猿,muông,1,1,1,REVIEW,True,viên vượn ươi,4,懞 獴 𤡌 𪺿,,1,,,
猺,ra,1,1,1,REVIEW,True,dao,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,
猶,tàu,1,1,1,REVIEW,True,do du dứu vưu,10,傮 曹 槽 艚 蓸 㯾 𣡘 𦿩 𧅝 𬟠,,0,,,
猶,muông,1,1,1,REVIEW,True,do du dứu vưu,4,懞 獴 𤡌 𪺿,,0,,,
猴,ánh,1,1,1,REVIEW,True,hầu,16,媵 影 愌 映 暎 朠 英 詇 㑞 䁐 𠈪 𠈫 𠊶 𡟒 𦩩 󱽏,,0,,,
猴,xi,1,1,1,REVIEW,True,hầu,27,伳 侈 吹 哆 嗤 奓 媸 弞 熾 蚩 龡 䶴 𠈎 𠷕 𢧾 𢨙 𣆚 𣍓 𤎷 𤐦,,0,,,
猡,ga,1,1,1,REVIEW,True,la,0,,,0,,,
猟,rạp,1,1,1,REVIEW,True,liệp lạp lốp lộp,12,笠 臘 銺 𠪸 𢺍 𢺎 𣠥 𧃌 𧄵 𧅕 𫏦 󱙩,,0,,,
猟,láp,1,1,1,REVIEW,True,liệp lạp lốp lộp,19,刺 啦 拉 措 搚 摺 擸 獵 臘 躐 邋 㧜 㩉 𢰖 𢴫 𢵄 𨆍 𪠸 󱞎,,0,,,
獗,sói,1,1,1,REVIEW,True,quyết quệ yết ệ,18,狤 猾 獪 磊 磥 礌 耒 藞 㰁 㹟 𡾷 𤞖 𤢗 𤢿 𥗉 𥗬 𩯹 𪻆,,0,,,
齊,một,1,1,1,REVIEW,True,chai chay chây trai trơi tày tè tê tư tầy tế tề,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,0,,,
率,có,1,1,1,REVIEW,True,chuốt luật lô rớt soát suất suốt sót sút súy thoát thoăn,15,世 个 個 古 同 固 堵 故 杏 沛 窖 箇 者 𣎏 󰡏,,2,,,
獨,họa,1,1,1,REVIEW,True,dọc độc đục,47,划 剨 劃 咊 和 咼 嫿 惒 旤 画 畫 畵 盉 祸 禍 福 禾 花 訸 鉌,,2,,,
玆,gô,1,1,1,REVIEW,True,tư,2,𦁿 𪂯,,0,,,
𮃛,kê,1,1,1,REVIEW,False,,37,乩 卟 咭 峜 嵆 嵇 枅 溪 稽 笄 筓 筭 計 计 雞 鳮 鶏 鷄 鸡 䈕,,0,,,
𮃛,si,1,1,1,REVIEW,False,,99,嗟 嗤 妛 媸 差 希 彨 彲 徙 抬 摛 柴 殦 灑 痴 瘥 癡 眵 瞝 知,,0,,,
玆,cô,1,1,1,REVIEW,True,tư,61,估 呱 咕 喿 夃 姑 嫴 孤 家 搰 柧 沽 泒 瓜 瘔 笟 箍 箛 篐 罛,,0,,,
玄,ở,1,1,1,REVIEW,True,huyên huyền,20,唹 扵 於 正 烏 菸 默 𠾕 𣄒 𣱏 𤋬 𤕘 𫵦 󰛢 󱳍 過 𠵩 𡁎 𢷣 𧿨,,0,,,
𮅕,trấn,1,1,1,REVIEW,False,,17,塡 填 琠 瑱 瞋 鉁 鎭 鎮 镇 顛 𤂪 𤩱 𦔿 𦗁 𨥵 𨦸 𨱅,,0,,,
玄,ví,1,1,1,REVIEW,True,huyên huyền,27, 𱒢 叿 啻 喟 嘳 圍 彼 欳 為 爲 訲 譬 㕟 𠣠 𠣱 𠷝 𠸠 𠺏 𠿥,,0,,,
玄,thay,1,1,1,REVIEW,True,huyên huyền,22,世 処 卋 台 咍 怡 檯 瓵 用 臺 邰 颱 鮐 㣍 𠊝 𠘭 𠳙 𠼷 𡐬 𢬣,,0,,,
玄,nữa,1,1,1,REVIEW,True,huyên huyền,5,女 姅 汝 𠯆 𡛤,女,0,,,gold/stt4_page_0142_c01_010.png
玄,nghe,1,1,1,REVIEW,True,huyên huyền,24,儀 冝 宐 宜 浪 牐 義 賖 㝖 𠖃 𠣨 𠵌 𡧧 𡨆 𡪀 𡪏 𢪀 𣦍 𥪺 𥫃,,0,,,
玄,làm,1,1,1,REVIEW,True,huyên huyền,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,0,,,
玄,hai,1,1,1,REVIEW,True,huyên huyền,18, 侼 台 咍 怡 檯 瓵 臺 邰 颱 鮐 㣍 𠄩 𠄽 𠘭 𡐬 𪱜 󰀘,,0,,,
玄,của,1,1,1,REVIEW,True,huyên huyền,8,古 咕 晫 䀡 𧵑 𧶮 𨷯 𫔳,,0,,,
玁,muông,1,1,1,REVIEW,True,hiềm hiểm,4,懞 獴 𤡌 𪺿,,0,,,
獻,sau,1,1,1,REVIEW,True,hi hiến ta,37,嗟 娄 婁 差 搂 楼 牢 畧 畱 瘥 窂 罒 荖 蹉 䁟 𡕘 𡘠 𡢐 𢀞 𢀠,,0,,,
鼻,như,1,1,1,REVIEW,True,tì tị tỳ tỵ,16,伽 侞 如 娘 帤 洳 茄 茹 蕠 袽 銣 铷 鴽 䋈 𣹤 襦,,0,,,
獵,gấu,1,1,1,REVIEW,True,chạp liệp láp lạp lốp lộp,9,褠 韝 㡚 𤠰 𦵷 𧛥 󱘐 󱨘 󱳹,,0,,,
獫,hùm,1,1,1,REVIEW,True,hiểm kiểm,6,𤞻 𧳘 𬮎 󰁫 󰠆 󱬻,,0,,,
獨,sói,1,1,1,REVIEW,True,dọc độc đục,18,狤 猾 獪 磊 磥 礌 耒 藞 㰁 㹟 𡾷 𤞖 𤢗 𤢿 𥗉 𥗬 𩯹 𪻆,,2,,,
𮝻,trước,1,1,1,REVIEW,False,,29,  𱐨 𱏯 斮 櫡 略 畧 着 竹 箸 苉 著 訳 㗉 𠓀 𠠩 𣋐 𣥧 𨍦,,0,,,
爹,đi,1,1,1,REVIEW,True,cha ta tía đa đà,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,0,,,
𭣣,hơn,1,1,1,REVIEW,True,thu,9,俽 忻 惞 欣 訢 軒 餘 䜣 𪡗,,0,,,
無,thành,1,1,1,REVIEW,True,mô vu vô,13,城 塍 宬 成 清 盛 誠 诚 郕 𢦩 𢧚 𧶔 铖,,40,,,
𠰥,lạ,1,1,1,REVIEW,True,nhã nhược,29, 吕 呂 囉 異 罗 羅 莒 逻 邏 𡄀 𡆗 𡚎 𤳧 𤴏 𦋝 𦌴 𦍉 𨓐 𨔍,,9,,,
焭,đâu,1,1,1,REVIEW,True,quỳnh,34,     𱏫 丟 丢 兜 兠 厾 叨 唗 篼 芇 蔸 銩 铥 頭 颩,,0,,,
焬,lửa,1,1,1,REVIEW,False,,8, 𱪵 呂 帞 火 焒 󰌎 󰌕,,0,,,
無,đã,1,1,1,REVIEW,True,mô vu vô,16,乑 也 卒 吏 吔 它 拖 易 胣 諸 陀 㐌 𠰹 𢒕 𣦁 𧭷,,40,,,
𰚾,năm,1,1,1,REVIEW,False,,19, 南 年 朩 璏 秊 䄭 𠄼 𠡦 𠦅 𠦚 𠫺 𠬋 𢆥 𦼌 𫡵 𫧣 𫷜 󱙌,,0,,,
𡉄,chắng,1,1,1,REVIEW,True,thánh,1,𪭽,,0,,,
𠰥,nơi,1,1,1,REVIEW,True,nhã nhược,13, 匕 厼 呢 坭 尼 巴 昵 泥 㞾 𡰱 𡲌 󱟼,,9,,,
無,vo,1,1,1,REVIEW,True,mô vu vô,24,丂 于 亏 亐 吁 呋 咘 哺 扜 扵 於 汙 籲 訏 趺 龥 䏏 𠮞 𠮱 𠮲,,40,,,
無,tô,1,1,1,REVIEW,True,mô vu vô,23,囌 甦 祖 租 稣 穌 芇 苏 苴 蒩 蘇 蘓 酥 鯂 䲆 𤯳 𥗹 𥠙 𦢦 𦣑,,40,,,
無,rối,1,1,1,REVIEW,True,mô vu vô,14,𰦫 𱹻 対 對 磊 綏 𤂬 𤞖 𤢿 𦆹 𦇒 𫃸 𬗔 󰑚,,40,,,
𠰥,ví,1,1,1,REVIEW,True,nhã nhược,27, 𱒢 叿 啻 喟 嘳 圍 彼 欳 為 爲 訲 譬 㕟 𠣠 𠣱 𠷝 𠸠 𠺏 𠿥,,9,,,
無,ra,1,1,1,REVIEW,True,mô vu vô,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,40,,,
無,ca,1,1,1,REVIEW,True,mô vu vô,48, 𰙔 卡 可 咔 咖 咯 哥 喀 嘎 嘠 尕 尜 擖 旭 旮 札 歌 毠 渮,,40,,,
𡉄,chăng,1,1,1,REVIEW,True,thánh,26, 丕 仳 庄 庒 弡 張 拯 生 空 荘 莊 㔻 㽵 𠗎 𠦓 𠲕 𤕶 𤖄 𤖈,,0,,,
焙,đốt,1,1,1,REVIEW,True,bồi bội vùi,30,咄 嘥 拙 挨 捽 杌 柮 淬 炪 焠 胐 茁 葖 飿 饳 㤕 㷝 𢪄 𢬪 𢱞,,0,,,
𠰥,nước,1,1,1,REVIEW,True,nhã nhược,13, 匿 國 娘 搩 於 渃 珠 箸 著 𣋐 𣥧 𫭔,,9,,,
𠰥,trở,1,1,1,REVIEW,True,nhã nhược,37,伹 俎 吕 呂 岨 把 柤 歟 沮 爼 與 詛 謯 跙 踷 郘 鉏 阻 齟 龃,,9,,,
𠰥,vua,1,1,1,REVIEW,True,nhã nhược,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,,9,,,
焉,qua,1,1,1,REVIEW,True,diên vờn yên,48, 冎 剐 剮 叧 呱 咍 咼 埚 堝 戈 找 挝 撾 檛 涡 渦 濄 瓜 瘑,,0,,,
焉,mở,1,1,1,REVIEW,True,diên vờn yên,22, 𲉇 嗎 碼 美 鎼 馬 𢒗 𢒠 𢒧 𢱖 𢲫 𨷑 𨸈 𩡬 𩦓 𫘑 𬮎 󰘉 󰡠,馬,0,,,gold/stt4_page_0144_c02_036.png
焰,chớ,1,1,1,REVIEW,True,dim diêm diễm diệm nhóm viêm,19, 咀 啫 渚 濐 籒 著 陼 㵭 䐗 𠤆 𠤌 𠹲 𣜾 𤀞 𤈪 著 󱉟 󱧥,,0,,,
然,ca,1,1,1,REVIEW,True,nhen nhiên nhoẻn nhơn nhởn,48, 𰙔 卡 可 咔 咖 咯 哥 喀 嘎 嘠 尕 尜 擖 旭 旮 札 歌 毠 渮,,0,,,
然,cho,1,1,1,REVIEW,True,nhen nhiên nhoẻn nhơn nhởn,12, 咮 埃 木 朱 株 沫 渚 濐 硃 陼 㵭,,0,,,
然,chưng,1,1,1,REVIEW,True,nhen nhiên nhoẻn nhơn nhởn,20, 丞 徴 徵 烝 蒸 㷥 䒱 𢽠 𢽡 𢾷 𢿁 𤇏 𤇶 𦲶 𧗲 𧪣 𩟘 󱡔 症,,0,,,
煙,đốt,1,1,1,REVIEW,True,yên,30,咄 嘥 拙 挨 捽 杌 柮 淬 炪 焠 胐 茁 葖 飿 饳 㤕 㷝 𢪄 𢬪 𢱞,焠 𤈜,0,,,
煙,ra,1,1,1,REVIEW,True,yên,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,
煙,kinh,1,1,1,REVIEW,True,yên,60,京 亰 仱 俓 剄 剠 勁 坕 巠 徑 悢 惊 敬 泾 涇 狣 痉 痙 硜 経,,0,,,
煙,càng,1,1,1,REVIEW,True,yên,17,乾 亘 岡 強 强 彊 犟 綱 𢏟 𣚦 𥆁 𧈧 𧖑 𪨈 𫋙 𮜓 󱢥,,0,,,
𠯁,rã,1,1,1,REVIEW,True,túc,9,也 吔 吕 呂 扡 野 㐌 𠒦 𣳮,,0,,,
煗,than,1,1,1,REVIEW,True,hoãn noãn,36,不 啴 嘆 嘽 坍 怹 摊 擹 攤 歎 湯 滩 潬 灘 炭 炮 炰 烣 熯 瘫,,0,,,
煕,ra,1,1,1,REVIEW,True,hi hy hây,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,
煒,sốt/6,1,1,1,REVIEW,True,huy vĩ,0,,,0,,,
煒,sốt,1,1,1,REVIEW,True,huy vĩ,7,律 淬 焠 𣙸 𤈠 󰌝 󱧲,焠,0,,,gold/stt4_page_0184_c02_030.png
煒,sot,1,1,1,REVIEW,True,huy vĩ,0,,,0,,,
煆,phải,1,1,1,REVIEW,True,hà hạ đoán,30,仕 伂 塊 折 拜 拝 朝 沛 派 芾 霈 㳈 𡴬 𢪙 𢫶 𢮠 𢰛 𢱭 𢳎 𢴽,,0,,,
𰙔,bởi,1,1,1,REVIEW,True,ca,19,  副 拜 排 摆 疲 罢 罷 羆 𠐌 𤳄 𤳷 𤳸 𦋼 𧟽 𪤄 𪽝 𬙞,,12,,,
焼,thì,1,1,1,REVIEW,True,sao thiu thiêu,56,𱢑 匙 埘 塒 寺 峕 常 提 时 旹 時 晨 曟 榯 氏 畤 秲 茄 莳 蒔,,0,,,
焼,theo,1,1,1,REVIEW,True,sao thiu thiêu,16,嘵 燒 繞 訨 趬 跳 跷 蹺 蹻 遶 饒 𣦜 𬩱 󰏐 󱘢 󱷻,,0,,,
