ocr_char,syllable,so_o,so_sach,so_trang,similar_hit,char_in_dict,gold_count,diem_unihan,nghieng_ve,vi_tri_1,vi_tri_2,NGUOI_DUYET,GHI_CHU
晉,rô,3,2,3,,tấntắntớn,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0322 c7 [531, 898, 646, 1029]","stt4/page_0206 c9 [178, 341, 243, 412]",,
景,người,3,2,3,,cánhcảncảnhkhảnhkiểng,1,0.0000,A_TU_DIEN_THIEU,"stt2/page_0278 c5 [831, 1580, 940, 1702]","stt4/page_0030 c3 [743, 1018, 812, 1096]",,
暗,tê,3,2,3,,hômámâmướm,9,0.0000,A_TU_DIEN_THIEU,"stt2/page_0046 c9 [246, 1762, 341, 1881]","stt2/page_0110 c8 [367, 2206, 477, 2335]",,
有,thì,3,2,3,,dựuhơihỡihữuhựu,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0160 c9 [285, 1418, 378, 1527]","stt11/page_0280 c5 [892, 2388, 997, 2494]",,
有,tiếng,3,2,3,,dựuhơihỡihữuhựu,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0150 c4 [1000, 1161, 1106, 1285]","stt4/page_0056 c2 [855, 905, 921, 984]",,
杢,lại,3,2,2,,,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0276 c6 [1317, 1663, 1433, 1797]","stt4/page_0064 c4 [683, 975, 753, 1049]",,
果,là,3,3,3,,ahủkhỏaquàquả,3,0.0000,A_TU_DIEN_THIEU,"stt11/page_0094 c8 [419, 1973, 522, 2090]","stt2/page_0208 c4 [993, 1303, 1100, 1427]",,
染,thầy,3,2,3,,nhiễmnhuốmnhuộmnhẹmruộm,1,0.0172,A_TU_DIEN_THIEU,"stt11/page_0028 c2 [1332, 1718, 1440, 1838]","stt11/page_0030 c5 [856, 1212, 956, 1319]",,
棄,thánh,3,3,3,,bằngkhí,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0062 c9 [241, 539, 341, 594]","stt2/page_0304 c2 [1304, 1662, 1410, 1774]",,
歌,hết,3,2,2,,cacàkhakhákhả,17,0.0000,A_TU_DIEN_THIEU,"stt2/page_0184 c3 [1172, 1077, 1286, 1181]","stt2/page_0184 c5 [865, 1359, 974, 1480]",,
毫,xuống,3,2,3,,hào,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0094 c5 [812, 1285, 914, 1397]","stt4/page_0038 c3 [751, 750, 825, 827]",,
氏,làm,3,2,3,,chithithìthị,1,0.0000,A_TU_DIEN_THIEU,"stt2/page_0026 c1 [1435, 748, 1540, 862]","stt2/page_0118 c8 [359, 1246, 468, 1362]",,
法,nước,3,2,3,,bắpmépmướpphápphép,193,0.0000,B_nghi,"stt11/page_0122 c3 [1184, 1253, 1281, 1360]","stt11/page_0242 c7 [568, 714, 673, 824]",,
灼,đốt,3,2,3,,chước,0,0.0081,A_TU_DIEN_THIEU,"stt11/page_0290 c6 [694, 1713, 794, 1825]","stt4/page_0208 c4 [679, 641, 751, 721]",,
炉,tro,3,3,3,,lòlôlư,8,0.1065,A_TU_DIEN_THIEU,"stt11/page_0098 c2 [1321, 2321, 1423, 2430]","stt2/page_0032 c7 [526, 1940, 618, 2049]",,
燭,đốt,3,3,3,,chúcluộcđuốc,4,0.0000,A_TU_DIEN_THIEU,"stt11/page_0222 c3 [1179, 2370, 1283, 2480]","stt2/page_0092 c7 [514, 2113, 626, 2211]",,
犀,một,3,2,3,,tâytê,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0102 c1 [1467, 2023, 1576, 2141]","stt2/page_0124 c1 [1434, 1397, 1541, 1516]",,
瑜,ong,3,2,3,,du,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0276 c1 [2043, 1023, 2159, 1151]","stt4/page_0234 c8 [274, 1088, 346, 1171]",,
產,ví,3,2,3,,sảnsẵnsởn,1,0.0000,A_TU_DIEN_THIEU,"stt2/page_0058 c7 [549, 588, 654, 708]","stt4/page_0258 c1 [966, 1212, 1034, 1287]",,
男,là,3,2,3,,nam,11,0.0000,A_TU_DIEN_THIEU,"stt11/page_0054 c6 [746, 2211, 851, 2325]","stt11/page_0186 c7 [567, 2384, 694, 2493]",,
畮,hỏi,3,2,3,,mẩumẫu,0,,A_TU_DIEN_THIEU,"stt2/page_0190 c3 [1134, 2292, 1239, 2419]","stt4/page_0032 c8 [276, 315, 350, 398]",,
盈,vui,3,2,3,,diềngdoanhdoànhduềnhdành,18,0.0000,A_TU_DIEN_THIEU,"stt11/page_0252 c6 [739, 1416, 845, 1528]","stt11/page_0290 c3 [1145, 1806, 1251, 1921]",,
眾,và,3,2,3,,chúnggiốngvới,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0232 c1 [1493, 1851, 1594, 1963]","stt2/page_0016 c7 [510, 1250, 602, 1367]",,
破,đá,3,2,3,,phapháphèphớiphứa,24,0.0000,B_nghi,"stt2/page_0060 c8 [375, 1888, 474, 1993]","stt4/page_0120 c2 [848, 237, 924, 312]",,
硏,chước,3,2,3,,nghiênnghiềnnghiễn,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0074 c7 [511, 576, 618, 689]","stt4/page_0160 c7 [382, 414, 457, 484]",,
礼,lay,3,3,3,,lãilưỡilạylấylẩy,286,0.0000,B_nghi,"stt11/page_0194 c1 [1467, 1693, 1573, 1812]","stt2/page_0242 c5 [855, 2252, 967, 2386]",,
祀,trẻ,3,2,3,,thờtờtừtự,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0140 c7 [494, 2131, 601, 2248]","stt2/page_0188 c2 [1245, 2021, 1351, 2144]",,
祗,lấy,3,3,3,,chi,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0050 c9 [273, 1800, 364, 1909]","stt2/page_0056 c8 [379, 1309, 468, 1405]",,
祗,lưỡi,3,2,3,,chi,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0058 c5 [883, 2141, 990, 2252]","stt2/page_0130 c9 [218, 1720, 323, 1837]",,
禹,le,3,2,3,,nguvõvũ,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0052 c7 [554, 1624, 659, 1741]","stt4/page_0096 c5 [571, 248, 643, 312]",,
秦,nài,3,2,3,,lẳngsôngtầntằn,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0228 c9 [236, 1108, 344, 1237]","stt2/page_0278 c6 [681, 2313, 794, 2435]",,
稔,ném,3,2,3,,nhẩmnhẫmnúmnấmnẫm,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0268 c5 [837, 460, 954, 570]","stt4/page_0068 c9 [186, 387, 251, 458]",,
突,hãy,3,3,3,唉,chặtchộtchợtdọtdột,0,0.0000,B_OCR_NHAM,"stt11/page_0194 c6 [702, 1248, 811, 1367]","stt2/page_0222 c6 [650, 925, 758, 1062]",,
等,người,3,2,3,,đấngđẳngđẵngđứng,4,0.0000,A_TU_DIEN_THIEU,"stt2/page_0254 c6 [676, 2037, 798, 2191]","stt2/page_0290 c3 [1112, 2250, 1232, 2388]",,
粤,ngày,3,2,3,,việt,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0028 c3 [1176, 1779, 1284, 1901]","stt4/page_0026 c5 [569, 716, 651, 786]",,
紆,buộc,3,3,3,,huuvuvò,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0074 c3 [1191, 907, 1297, 1027]","stt2/page_0190 c3 [1109, 495, 1220, 617]",,
罔,là,3,2,3,,vóngvõngvọng,0,0.0181,A_TU_DIEN_THIEU,"stt2/page_0116 c5 [831, 1056, 943, 1183]","stt2/page_0136 c4 [940, 2241, 1047, 2351]",,
罢,bỏi,3,3,3,,bãibìbưởibảybấy,203,0.0000,B_nghi,"stt11/page_0088 c7 [586, 1623, 690, 1742]","stt2/page_0232 c1 [1459, 1692, 1566, 1819]",,
罢,là,3,2,3,,bãibìbưởibảybấy,203,0.0000,B_nghi,"stt11/page_0156 c8 [418, 500, 525, 613]","stt11/page_0236 c3 [1172, 452, 1269, 556]",,
羽,vua,3,2,3,,võvũ,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0282 c9 [236, 766, 348, 898]","stt4/page_0220 c1 [967, 690, 1040, 770]",,
而,lam,3,2,3,,haynhenhinhỉnăn,7,0.0000,A_TU_DIEN_THIEU,"stt11/page_0218 c1 [1450, 2361, 1555, 2464]","stt2/page_0116 c3 [1151, 1708, 1259, 1827]",,
股,da,3,2,3,,cổcỗđầu,1,0.0062,A_TU_DIEN_THIEU,"stt11/page_0122 c2 [1317, 456, 1422, 556]","stt11/page_0256 c1 [1511, 1180, 1613, 1290]",,
胡,chém,3,2,3,,hàhòhôhầuhồ,4,0.0000,A_TU_DIEN_THIEU,"stt11/page_0258 c8 [410, 1764, 511, 1876]","stt11/page_0270 c3 [1166, 798, 1270, 922]",,
脉,đội,3,2,3,,mạchthạchvách,5,0.0000,A_TU_DIEN_THIEU,"stt2/page_0294 c3 [1119, 2404, 1228, 2520]","stt4/page_0168 c1 [969, 983, 1044, 1072]",,
脫,thai,3,2,3,,thoátthoạtthoắtxoátđoái,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0100 c7 [518, 1251, 615, 1366]","stt2/page_0218 c9 [239, 2404, 346, 2514]",,
致,kính,3,2,3,,chínhítrí,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0158 c6 [714, 2202, 818, 2255]","stt11/page_0204 c1 [1505, 1273, 1606, 1390]",,
藥,lăm,3,2,3,,dượcrạcthuốcước,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0256 c6 [746, 879, 847, 988]","stt2/page_0186 c6 [635, 2011, 748, 2133]",,
蜂,thờ,3,2,3,,bạngongphong,11,0.0000,A_TU_DIEN_THIEU,"stt2/page_0278 c1 [1443, 1310, 1561, 1440]","stt4/page_0212 c6 [485, 554, 553, 629]",,
蠎,ong,3,2,3,,mangmãng,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0202 c2 [1317, 927, 1424, 1054]","stt11/page_0226 c2 [1296, 795, 1400, 907]",,
衣,ghê,3,2,3,,eyýấyỉ,287,0.0000,B_nghi,"stt11/page_0010 c2 [1307, 1119, 1414, 1242]","stt11/page_0014 c9 [243, 1465, 341, 1571]",,
衣,dạy,3,2,3,,eyýấyỉ,287,0.0000,B_nghi,"stt2/page_0250 c9 [282, 2172, 397, 2301]","stt4/page_0254 c5 [579, 1569, 650, 1643]",,
衲,thịt,3,2,3,,nópnạpnẹpnột,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0234 c6 [679, 2050, 795, 2190]","stt4/page_0188 c3 [755, 1377, 822, 1454]",,
詞,gương,3,2,3,,tờtừ,9,0.0000,A_TU_DIEN_THIEU,"stt11/page_0076 c9 [303, 1866, 402, 1982]","stt11/page_0172 c6 [1252, 869, 1359, 981]",,
辰,để,3,2,3,,gìnthìthìnthầnthời,1,0.0000,A_TU_DIEN_THIEU,"stt11/page_0128 c5 [862, 1623, 964, 1735]","stt11/page_0196 c5 [878, 2297, 986, 2423]",,
道,nghe,3,2,3,,dạonhạođaođọađáo,404,0.0000,B_nghi,"stt2/page_0058 c9 [216, 1782, 330, 1909]","stt4/page_0014 c3 [760, 1467, 826, 1542]",,
那,da,3,2,3,,mẹnanànánư,77,,B_nghi,"stt11/page_0130 c3 [1170, 1179, 1274, 1288]","stt11/page_0294 c8 [422, 2351, 515, 2457]",,
那,tà,3,2,2,,mẹnanànánư,77,,B_nghi,"stt2/page_0238 c4 [1001, 1562, 1122, 1691]","stt2/page_0238 c8 [401, 1173, 505, 1294]",,
銜,về,3,2,3,,hàmkhem,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0238 c3 [1152, 1171, 1252, 1305]","stt4/page_0100 c1 [951, 1363, 1028, 1448]",,
順,phiền,3,2,3,,thuậnthộntuần,3,0.0000,A_TU_DIEN_THIEU,"stt2/page_0034 c4 [952, 1828, 1053, 1945]","stt2/page_0294 c1 [1457, 1376, 1570, 1501]",,
魂,tay,3,2,3,,hunhònhùnhồn,83,0.0000,B_nghi,"stt11/page_0044 c4 [1048, 987, 1156, 1092]","stt11/page_0052 c8 [394, 2100, 499, 2213]",,
魏,gương,3,2,3,,ngoainguyngùyngụy,0,0.0000,A_TU_DIEN_THIEU,"stt2/page_0048 c5 [818, 1168, 921, 1274]","stt2/page_0312 c5 [840, 1056, 953, 1178]",,
鷺,và,3,2,3,,còkéclạclộ,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0034 c6 [714, 706, 817, 824]","stt11/page_0058 c5 [872, 2311, 981, 2424]",,
𠕋,là,3,3,3,,sách,0,,A_TU_DIEN_THIEU,"stt11/page_0152 c7 [578, 1660, 689, 1780]","stt2/page_0298 c6 [652, 1553, 792, 1675]",,
𠷰,nhọn,3,3,3,,,0,,A_TU_DIEN_THIEU,"stt11/page_0258 c3 [1168, 425, 1264, 534]","stt2/page_0024 c1 [1407, 1515, 1505, 1628]",,
𢙢,rửa,3,2,3,,khủngthứ,0,0.0000,A_TU_DIEN_THIEU,"stt11/page_0060 c5 [874, 1504, 979, 1618]","stt11/page_0190 c3 [1690, 1946, 1798, 2064]",,
𣈆,rô,3,2,3,,tấntắntớn,0,,A_TU_DIEN_THIEU,"stt2/page_0030 c8 [360, 575, 457, 682]","stt2/page_0140 c5 [804, 549, 904, 667]",,
𫞲,kia,3,2,3,,,0,,A_TU_DIEN_THIEU,"stt11/page_0036 c7 [604, 709, 710, 821]","stt11/page_0178 c2 [1302, 715, 1410, 833]",,
𫞹,hai,3,2,3,,,0,,A_TU_DIEN_THIEU,"stt11/page_0278 c4 [1031, 1174, 1145, 1286]","stt4/page_0126 c2 [860, 507, 927, 582]",,
𬼘,ra,3,2,3,,,0,,A_TU_DIEN_THIEU,"stt11/page_0058 c8 [418, 2153, 535, 2261]","stt2/page_0290 c5 [828, 2272, 942, 2405]",,
𭃡,xem,3,2,3,,,0,,A_TU_DIEN_THIEU,"stt11/page_0188 c4 [1030, 897, 1133, 1012]","stt4/page_0164 c8 [274, 1142, 349, 1218]",,
𭸟,gà,3,2,2,,,0,,A_TU_DIEN_THIEU,"stt11/page_0156 c9 [248, 1972, 355, 2087]","stt4/page_0160 c5 [568, 238, 640, 308]",,
𮓡,hư,3,2,3,,,0,,A_TU_DIEN_THIEU,"stt11/page_0024 c4 [1023, 1582, 1127, 1691]","stt11/page_0070 c8 [407, 1018, 514, 1129]",,
